ma_cua_hang,ma_thanh_pho,so_dien_thoai,thoi_gian
31873,9574,584.673.2124,2024-11-22 13:39:16
31944,9011,734-906-4525x69,2024-05-01 22:55:37
31990,9574,260.227.2233x17,2025-01-03 19:51:42
32214,3957,520.714.0391x67,2024-09-09 23:14:13
32228,3396,207.224.5171,2025-04-01 16:05:05
32284,8168,(339)280-1143,2024-10-15 03:43:30
32289,7134,6985834456,2024-06-23 01:59:38
32299,2358,8904299016,2024-10-19 03:56:06
32304,7729,433-419-7986x70,2024-09-04 17:01:16
32423,9011,902.999.1207x75,2024-08-26 05:02:29
32431,8168,280-660-6580,2025-02-07 04:45:08
32445,4679,(422)355-1730x0,2024-11-13 10:37:11
32546,7672,2243939631,2024-10-13 21:29:28
32556,9399,4159442261,2024-12-20 23:47:14
32636,3748,630.871.6577x27,2024-10-21 14:44:03
32666,2749,281.487.8701,2024-08-27 18:04:07
32753,9399,802.200.2644,2025-01-10 22:32:56
32880,9634,(484)747-1511x7,2024-08-09 11:33:21
32891,8171,581.398.5660,2024-12-18 21:04:42
32907,9011,630.387.3109,2025-01-03 19:44:54
33003,9399,335.666.2863x73,2024-11-29 22:46:27
33009,5786,690.491.6486x10,2025-03-01 01:15:50
33092,9250,(573)250-0345,2024-06-29 05:46:57
33144,9574,+1-354-658-5811,2024-12-09 17:04:14
33158,9975,278.615.3684x49,2024-09-27 21:45:48
33221,4679,+1-694-681-8615,2024-10-09 14:12:20
33320,4793,+1-865-661-7710,2024-10-28 03:12:54
33335,3396,+1-640-697-6971,2024-12-10 22:34:16
33468,2973,769-267-8061x07,2024-09-15 00:05:14
33483,9613,001-594-257-426,2024-11-22 14:04:57
33484,7023,798.908.1389,2024-11-30 07:38:14
33547,3748,+1-357-358-2689,2024-10-20 18:23:38
33578,9613,001-658-845-305,2025-04-26 14:16:13
33675,7023,+1-942-341-2224,2024-04-30 18:30:03
33694,4679,+1-464-960-3373,2024-12-12 20:08:56
33709,5111,+1-390-571-7681,2025-03-11 18:50:57
33739,4433,(598)797-3553,2024-09-05 17:13:39
33749,7729,(614)716-7697,2024-09-10 04:33:35
33807,8168,230-375-2397x76,2024-09-15 16:23:41
33868,8168,(547)261-4316,2024-05-31 13:48:03
33955,9975,371-762-3380x14,2024-06-08 08:43:04
33992,732,6603568482,2024-09-12 03:18:08
34022,3129,236.953.2358x18,2024-05-06 18:14:01
34102,3950,+1-221-338-6585,2025-01-13 04:03:08
34453,3129,470-941-4597,2024-10-30 00:30:00
34483,6660,4894515223,2024-10-15 00:47:28
34511,6660,001-574-762-287,2025-02-14 09:01:18
34515,6660,398.731.8311x01,2024-11-04 01:15:31
34576,8404,(817)751-0123x1,2025-02-20 09:08:53
34615,5645,(840)379-1224,2025-04-08 00:31:18
34626,3748,9183467039,2024-12-11 21:42:43
34915,2032,769-209-8939,2024-09-04 05:24:32
35041,2749,(577)347-7739,2024-10-26 09:49:42
35095,9574,640-235-7806x11,2025-02-03 02:57:02
35107,3396,765-391-3491x17,2024-11-07 19:28:26
35115,5742,+1-869-390-8946,2024-11-11 15:16:54
35161,2749,488.298.9205,2025-03-07 09:05:51
35169,8171,801-835-4725x96,2024-06-29 19:15:23
35214,8171,+1-608-256-9054,2024-12-01 07:19:00
35234,4433,512.342.0599x05,2024-08-30 04:21:29
35296,3748,001-234-736-016,2024-07-08 19:18:27
35320,3950,408-247-8346x94,2025-02-10 17:03:10
35324,4433,+1-923-884-4055,2024-09-15 23:28:19
35364,7672,2143936505,2024-05-03 04:53:04
35419,8171,908-959-1794x27,2024-07-25 16:09:59
35754,3818,+1-566-831-6371,2024-10-13 08:54:50
35761,2973,001-446-936-096,2024-08-30 23:28:11
35793,5645,800-513-7171x57,2024-06-23 21:52:27
35835,8863,001-662-781-815,2024-12-18 06:35:03
35977,5645,379.417.5458,2025-04-01 22:39:13
36066,4499,961-558-9739x03,2025-03-02 08:10:05
36223,9011,309.307.3728x50,2024-12-22 14:57:55
36250,7729,3625143793,2024-05-14 17:55:42
36315,5786,001-906-601-926,2024-07-23 14:28:40
36334,8404,898-706-5417,2024-07-19 14:06:04
36342,2032,(201)296-7704,2024-08-15 23:32:46
36438,8260,+1-209-631-9339,2024-08-15 10:22:14
36506,7672,276.757.2250x78,2024-11-09 12:31:39
36553,2749,887.267.2665x39,2025-01-28 00:22:26
36692,9634,734-908-2208,2025-03-23 02:23:13
36704,9011,598-888-4178x79,2024-10-11 10:20:46
36756,7023,765-599-6099x55,2024-06-18 01:49:07
36768,8260,001-360-964-632,2024-11-20 08:13:37
36782,3396,(680)432-2527x6,2024-09-18 01:58:21
36867,5786,(801)717-0772x9,2024-08-21 13:53:07
36877,732,3802586568,2024-10-02 08:50:00
37088,8171,967.563.7393x59,2025-04-18 01:47:52
37229,867,001-867-282-276,2024-11-18 09:21:37
37381,3957,001-887-479-850,2024-12-24 08:24:08
37434,3129,273.211.2193x85,2024-12-05 03:20:26
37497,6660,(861)727-9679,2024-10-28 20:38:15
37514,4679,+1-631-709-3224,2024-07-23 19:14:45
37660,9975,001-418-912-469,2025-02-27 01:27:02
37716,3396,(407)635-1864x5,2024-10-26 14:26:22
37721,8171,+1-882-734-6874,2024-10-09 15:37:35
37875,5645,+1-813-271-9186,2024-11-22 12:39:22
37909,9613,(504)580-2999,2025-01-10 19:27:44
37982,2358,001-327-538-443,2024-09-18 01:19:45
37987,4793,633.815.1347x62,2024-08-08 17:58:39
38043,6994,885-264-4194,2024-11-02 03:51:25
38095,3818,(398)911-2768x9,2024-10-21 12:05:08
38105,8404,(701)741-9450x3,2024-12-26 04:53:54
38147,5786,+1-272-593-3973,2024-07-27 07:51:57
38179,7729,(515)551-9157,2024-07-23 21:53:41
38216,9574,211-512-0928,2025-04-20 22:56:06
38265,4499,5352221312,2024-10-28 18:07:08
38348,5645,(427)368-8847x8,2025-03-27 00:04:14
38457,4499,(393)957-1442,2024-10-17 23:26:43
38618,6660,534.454.6697x50,2024-12-04 21:28:42
38631,3818,(590)639-7744,2024-09-17 06:49:01
38650,9399,001-608-526-034,2024-10-01 19:06:21
38683,3129,001-282-563-056,2025-04-23 07:11:23
38706,8863,630-550-0419,2024-06-24 04:40:34
38708,3129,448-433-8016x89,2025-02-16 23:02:19
38782,7672,458-321-8356x23,2024-12-04 07:50:11
38833,3748,001-785-823-883,2025-02-13 07:36:49
38851,7729,001-473-805-811,2024-08-16 20:54:22
38939,4499,+1-707-976-8490,2024-05-24 18:54:12
38979,5786,+1-942-954-6721,2025-02-19 12:48:38
39007,7672,484.958.5688,2024-06-27 00:04:03
39076,3748,268-833-7449x68,2025-01-21 12:13:55
39143,3950,001-875-954-847,2024-09-21 11:05:31
39150,5742,001-550-928-917,2024-11-29 02:11:51
39397,8168,001-429-838-616,2024-06-25 04:55:41
39565,5645,520-604-6318x93,2024-06-21 15:54:09
39658,4433,2772874020,2025-02-15 19:16:54
39687,4433,+1-883-790-3905,2024-07-16 14:03:33
39716,7023,(694)275-2477x2,2024-10-15 21:27:34
39728,6994,001-781-686-799,2024-09-06 10:59:23
39807,6660,202-847-6106,2024-07-25 02:21:00
39863,4679,(852)363-9792x2,2024-07-17 15:02:57
39872,5786,636-378-5262x60,2025-01-16 12:29:32
39892,9011,690-595-6874x31,2024-10-02 07:46:54
39959,5111,(551)638-5442,2025-04-11 22:03:10
39978,3748,379-220-2616x32,2024-12-14 21:44:17
40001,8863,(557)562-4568x2,2024-08-20 10:50:23
40041,4793,+1-616-373-2962,2024-11-10 14:55:16
40049,5111,(936)325-3165,2024-08-24 12:51:44
40155,8260,001-529-576-619,2024-09-16 00:40:39
40160,8404,001-699-302-999,2025-02-19 09:06:37
40274,4679,001-796-490-688,2024-08-02 00:16:53
40310,8168,410.203.7732,2025-03-30 05:06:02
40627,4679,+1-451-714-4594,2024-05-12 21:56:36
40662,6660,(706)280-1317x5,2024-08-14 19:12:24
40768,3950,(879)586-3345,2024-10-05 05:41:59
40969,867,799.353.1005x30,2025-02-21 01:32:00
41115,9975,(234)792-6315x5,2024-09-20 07:58:17
41125,867,(707)966-6389x5,2024-06-03 08:35:20
41128,7023,465.232.7489,2024-11-09 06:41:45
41254,2032,(612)515-6868,2024-12-27 07:56:37
41299,8260,001-634-907-049,2025-04-22 07:34:42
41651,7023,8972536011,2024-09-27 15:17:59
41747,9574,943.400.5174x76,2025-04-16 09:42:02
41762,9250,+1-824-848-5010,2024-11-16 06:26:55
41911,6994,548-922-6559x38,2024-12-30 21:06:52
41955,4499,001-366-273-880,2024-09-13 06:52:56
41996,9399,+1-879-238-1269,2025-01-24 01:31:01
42029,4679,636.919.9966x72,2024-11-01 06:00:59
42096,2032,765-493-1116x39,2025-01-02 04:41:47
42128,9634,(236)875-7523x8,2024-09-01 07:18:02
42158,2032,763.648.3249x51,2024-06-03 20:43:47
42224,9634,+1-671-467-6923,2024-08-23 03:16:00
42249,1169,2349922731,2025-01-22 23:54:37
42264,2358,395-614-0233x65,2024-12-03 10:30:13
42635,5111,+1-232-731-3821,2024-12-10 17:16:45
42692,9574,539-243-1241x58,2024-08-22 16:31:21
42939,7023,+1-205-801-6794,2024-06-13 04:56:41
43018,8404,652.596.7971x25,2024-09-25 15:39:35
43029,6994,001-990-533-008,2024-08-23 12:19:40
43096,8168,770-870-4114,2024-08-12 06:11:11
43117,9613,279.757.8152,2025-01-10 05:43:15
43238,4793,+1-593-480-5915,2024-12-03 12:37:18
43254,8260,001-923-511-814,2025-04-19 10:34:21
43286,5645,728.277.7755x36,2024-11-02 18:26:46
43468,4499,+1-360-955-8169,2024-11-13 23:21:21
43473,7134,8344190489,2024-09-04 23:35:24
43496,2973,714-346-7239x24,2025-02-19 20:54:02
43497,3957,(805)621-2030x1,2024-07-01 00:49:29
43644,2032,326-425-6999,2024-05-03 18:29:07
43675,1169,403-560-2962,2025-03-06 04:34:40
43679,2358,466-696-1206x63,2025-01-02 23:22:24
43688,9574,619.218.0052x28,2025-02-04 10:34:12
43893,2032,001-637-244-561,2024-10-04 16:59:30
43896,3818,510-863-9232,2024-09-27 12:31:35
44054,3396,001-325-804-379,2025-04-17 18:40:58
44082,2973,378.776.0972x77,2024-09-16 09:21:09
44259,8168,2568305105,2024-07-25 20:27:16
44266,8168,001-823-644-001,2024-08-24 16:01:45
44282,8171,742.562.0062x38,2025-02-18 11:04:15
44321,8171,001-521-941-018,2025-02-05 04:20:37
44338,2749,679.912.3603x62,2024-07-23 01:07:23
44593,5742,6563817099,2025-04-06 17:51:38
44660,732,628-700-4218x17,2024-09-26 04:10:09
44670,4679,267-434-0581,2024-10-03 06:55:19
44717,2973,+1-980-944-1808,2024-11-28 08:32:00
44857,8260,(418)418-6676x5,2024-11-17 01:20:29
44975,8171,5016582669,2024-05-11 00:46:41
45001,4433,913-364-2707x88,2024-12-24 17:49:08
45146,6660,7042370627,2024-06-13 18:43:16
45191,4433,323-672-4220,2024-09-09 21:59:30
45197,1169,001-308-811-382,2025-04-18 02:45:31
45247,3129,325-990-0162,2024-12-10 05:36:40
45517,8171,(991)889-3318x8,2025-01-17 13:50:25
45587,5111,(519)298-2706x1,2024-12-15 04:09:41
45617,867,3348619227,2024-07-18 12:08:43
45679,8171,001-949-508-145,2025-02-21 16:26:22
45684,5111,536.684.3839x09,2024-07-02 09:37:15
45788,2973,530-353-5115x57,2024-07-27 02:42:29
45922,9613,(789)441-4046x5,2024-05-13 00:30:29
46003,3950,379.317.5399x94,2024-10-26 08:08:19
46026,6994,001-622-422-985,2025-02-12 00:56:22
46054,8168,001-233-790-218,2024-10-07 01:00:08
46105,5742,001-737-934-648,2025-02-23 21:52:29
46180,9975,691.870.7216x99,2024-08-17 23:00:25
46196,4499,001-361-415-728,2025-01-15 14:36:04
46230,9574,618.788.5762x56,2025-02-14 23:42:15
46246,2749,776-517-0539x96,2025-03-23 22:14:16
46371,867,503.638.9407,2024-04-29 16:22:22
46582,6994,9287790946,2025-02-16 11:55:40
46665,9975,724.264.5392x86,2025-04-02 02:49:15
46673,9011,537-751-4762x76,2025-03-12 00:03:14
46731,9574,539.409.2983x25,2024-08-01 16:27:45
46759,7729,3658099979,2024-10-29 10:58:10
46773,8168,001-430-541-381,2025-03-28 04:09:52
46890,4499,220.925.4724x66,2024-05-19 15:03:44
46998,8171,+1-625-318-6718,2025-01-12 05:56:14
47123,3818,639.957.6432x61,2025-04-22 07:13:24
47160,4499,(246)740-7293x7,2024-11-06 05:08:36
47180,9399,535-987-5435x47,2024-07-21 05:44:23
47321,4793,775-775-8253x04,2025-02-10 00:56:49
47371,7672,(702)923-1708,2024-12-02 20:16:20
47388,2749,001-450-470-826,2024-12-16 16:43:06
47404,9399,(633)979-0274,2024-08-19 21:42:34
47551,9011,328.704.9424,2024-12-19 00:21:32
47574,3396,332-342-8853,2024-06-28 20:09:52
47601,8168,254-449-5072,2024-08-14 13:01:03
47720,8404,(773)221-4626x3,2025-01-11 14:43:11
47839,9250,+1-227-704-5253,2024-10-04 20:28:52
47988,8863,001-432-832-248,2025-03-16 06:29:27
48076,3396,001-993-690-845,2024-06-21 04:26:42
48113,2973,(253)405-2435x1,2025-02-11 04:43:47
48132,867,001-711-252-324,2024-06-05 23:25:28
48141,5742,+1-944-565-5680,2024-10-10 22:08:24
48182,3818,916-599-5594x48,2024-08-12 14:42:59
48210,8168,(451)236-4653x1,2024-11-11 16:16:46
48354,5786,001-892-453-359,2024-05-05 03:12:17
48441,4433,001-823-851-822,2025-02-16 22:33:58
48504,9574,322-556-7514x91,2025-02-12 07:49:38
48687,7023,3144467602,2025-01-05 00:33:32
48705,5111,682-689-2934,2024-08-06 17:38:45
48717,7672,001-518-311-596,2024-06-02 18:28:11
48803,9574,(514)243-7744,2024-05-20 03:56:01
48855,8404,330-590-9574x04,2025-02-25 14:45:47
49165,3129,(741)309-6383x5,2024-05-24 17:56:45
49271,3950,+1-697-425-5719,2024-11-23 09:27:53
49336,3396,(356)409-4985x9,2024-11-27 00:06:34
49388,9613,+1-728-547-0398,2025-02-26 16:18:24
49406,4679,(506)453-6823x0,2024-11-16 00:43:39
49448,9975,(750)847-0651x4,2024-06-13 05:02:55
49461,9399,001-761-263-862,2024-09-20 20:51:04
49462,9613,001-571-748-177,2025-03-14 22:42:09
49474,2032,(463)862-3258,2024-10-06 02:08:32
49522,3396,9077402956,2025-01-10 14:17:48
49571,7672,947.740.4308x21,2025-04-05 10:03:11
49635,8404,506-325-8837x70,2024-09-08 23:12:52
49713,5111,(532)215-7684x1,2025-04-09 07:52:33
49796,6660,679.497.8805,2025-02-02 08:27:26
49851,4679,(745)219-1758,2024-08-20 19:05:36
49863,7134,244-415-3333,2024-10-02 14:29:51
49915,9574,001-976-613-219,2024-12-09 20:04:48
49995,5786,+1-404-721-3043,2025-03-21 13:45:31
